                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0915,                 3.0682,                 1.7486,                0.59359,                0.62929,                 0.6568,                0.40519,                 1.2052,                 1.8763,                 2.4128,             0.00023708,             0.00023708,             0.00023708
                      1,                 1.0097,                 1.6935,                 1.6696,                 0.6628,                0.60103,                0.68331,                0.42779,                 1.2864,                 1.6025,                 2.3568,             0.00045627,             0.00045627,             0.00045627
                      2,                0.99983,                 1.5955,                 1.6504,                0.56752,                0.60352,                0.59694,                0.37367,                 1.2976,                 1.8222,                 2.3585,             0.00065661,             0.00065661,             0.00065661
                      3,                0.97226,                 1.4848,                 1.6218,                0.77739,                0.68646,                0.80465,                 0.5575,                 1.0581,                 1.2372,                 2.1241,             0.00062918,             0.00062918,             0.00062918
                      4,                0.96244,                 1.3977,                 1.6132,                0.61636,                0.67132,                0.69875,                0.46735,                 1.1468,                 1.5551,                  2.198,             0.00062918,             0.00062918,             0.00062918
                      5,                0.90539,                 1.3218,                 1.5615,                0.71164,                0.75111,                0.81792,                 0.5671,                 1.0331,                 1.1888,                 2.0777,              0.0006009,              0.0006009,              0.0006009
                      6,                0.88614,                 1.2739,                 1.5446,                0.77061,                0.74885,                0.83186,                0.57242,                 1.0896,                 1.1235,                 2.1098,             0.00057263,             0.00057263,             0.00057263
                      7,                0.86771,                  1.217,                 1.5349,                0.80261,                0.74812,                0.86368,                0.63839,                0.92761,                 1.0059,                 1.9278,             0.00054435,             0.00054435,             0.00054435
                      8,                0.83253,                 1.1326,                 1.4913,                0.78727,                0.78642,                0.86543,                0.65166,                0.91913,                 1.0316,                 1.9108,             0.00051608,             0.00051608,             0.00051608
                      9,                0.81703,                 1.0736,                 1.4747,                 0.8936,                0.80717,                0.90391,                0.69695,                0.91041,                0.83687,                 1.8893,              0.0004878,              0.0004878,              0.0004878
                     10,                0.78156,                 1.0184,                 1.4424,                0.83032,                0.83127,                   0.91,                0.69337,                0.90089,                0.81099,                 1.9028,             0.00045953,             0.00045953,             0.00045953
                     11,                0.77324,                0.97594,                 1.4364,                0.85315,                0.80704,                0.89641,                 0.6984,                0.85304,                0.80604,                 1.7993,             0.00043126,             0.00043126,             0.00043126
                     12,                0.74489,                0.92058,                 1.4059,                0.89341,                0.85658,                0.92763,                0.73852,                0.79528,                0.71303,                 1.7502,             0.00040298,             0.00040298,             0.00040298
                     13,                0.74784,                0.90663,                 1.4065,                  0.875,                0.83087,                0.91354,                0.71561,                0.84005,                0.77207,                 1.8138,             0.00037471,             0.00037471,             0.00037471
                     14,                0.72508,                0.88127,                 1.3885,                0.88066,                0.88916,                 0.9392,                0.73457,                0.86069,                0.66565,                 1.8211,             0.00034643,             0.00034643,             0.00034643
                     15,                0.70351,                0.84774,                  1.372,                0.88304,                0.88097,                0.94213,                0.74374,                0.82816,                0.69687,                 1.8034,             0.00031816,             0.00031816,             0.00031816
                     16,                0.69125,                0.80915,                 1.3604,                0.91638,                0.87107,                0.94156,                0.75069,                0.79364,                0.64418,                 1.7241,             0.00028988,             0.00028988,             0.00028988
                     17,                0.67578,                0.78319,                 1.3466,                0.93274,                0.86538,                0.94955,                0.76758,                0.77358,                0.59602,                 1.7103,             0.00026161,             0.00026161,             0.00026161
                     18,                0.65925,                0.74278,                 1.3312,                0.93137,                0.86957,                0.95664,                0.77271,                0.76228,                0.58032,                 1.6588,             0.00023334,             0.00023334,             0.00023334
                     19,                0.64697,                0.71227,                 1.3197,                0.92244,                0.91062,                0.96122,                 0.7876,                0.73439,                0.53685,                 1.6437,             0.00020506,             0.00020506,             0.00020506
                     20,                0.63523,                0.70285,                 1.3087,                0.90948,                0.93417,                0.96192,                0.78374,                0.75431,                0.53867,                  1.664,             0.00017679,             0.00017679,             0.00017679
                     21,                0.62183,                0.66511,                 1.2933,                0.93539,                0.91122,                0.95771,                0.79103,                0.71738,                0.54248,                 1.6109,             0.00014851,             0.00014851,             0.00014851
                     22,                0.60763,                0.65217,                 1.2874,                 0.9413,                0.88724,                0.96061,                0.79891,                0.70218,                0.52743,                 1.5891,             0.00012024,             0.00012024,             0.00012024
                     23,                0.59237,                0.62515,                 1.2748,                0.93681,                0.88109,                0.96127,                0.79779,                0.70582,                0.52011,                 1.6032,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     24,                0.58471,                 0.6085,                 1.2685,                0.91527,                0.90673,                0.96191,                0.80255,                0.69189,                 0.5111,                 1.5716,             6.3689e-05,             6.3689e-05,             6.3689e-05
